State,Year,Male Cases,Male Rate,Female Cases,Female Rate,Age 13-24 Cases,Age 13-24 Rate,Age 25-34 Cases,Age 25-34 Rate,Age 35-44 Cases,Age 35-44 Rate,Age 45-54 Cases,Age 45-54 Rate,Age 55+ Cases,Age 55+ Rate,White Cases,White Rate,Black Cases,Black Rate,Hispanic Cases,Hispanic Rate,American Indian/Alaska Native Cases,American Indian/Alaska Native Rate,Asian Cases,Asian Rate,Native Hawaiian/Other Pacific Islander Cases,Native Hawaiian/Other Pacific Islander Rate,Multiple Race Cases,Multiple Race Rate,Heterosexual Contact Total Cases,IDU Total Cases,MSM Cases,Other Transmission Category Total Cases,State Cases,State Rate
Oklahoma,2014,277,18,57,4,73,11,115,22,64,14,56,12,25,2,167,8,85,37,32,12,23,9,4,7,1,29,22,16,56,22,221,1,334,11
Oregon,2014,222,13,22,1,32,5,80,15,59,12,47,9,26,2,162,6,15,26,48,14,1,3,7,5,3,26,8,9,27,18,162,0,244,7
Pennsylvania,2014,1039,20,283,5,285,14,367,22,268,18,252,14,151,4,383,4,690,62,197,32,4,28,25,7,0,0,23,20,471,94,728,2,1322,12
Rhode Island,2014,80,18,21,5,15,8,26,19,25,20,21,14,14,4,40,6,24,50,28,25,0,0,3,11,0,0,5,39,33,5,61,0,101,11
South Carolina,2014,685,35,156,7,247,31,234,37,128,22,145,22,87,6,191,7,598,56,31,16,2,14,0,0,1,60,17,39,220,40,568,1,841,21
South Dakota,2014,17,5,12,3,3,2,7,7,11,11,5,5,2,1,12,2,12,101,1,5,4,8,0,0,0,0,0,0,17,2,6,0,28,4
Tennessee,2014,642,24,166,6,227,22,242,28,156,19,118,13,65,4,264,6,471,53,52,23,1,7,3,4,1,38,16,26,218,33,541,0,808,15
Texas,2014,3925,37,892,8,1224,26,1589,41,984,27,690,20,329,5,1016,10,1797,70,1796,23,3,4,86,9,1,7,117,51,1033,255,3386,6,4817,22
Utah,2014,102,9,18,2,22,4,49,11,31,8,9,3,10,2,69,4,12,50,32,11,0,0,8,15,0,0,0,0,20,5,77,0,120,5
Vermont,2014,15,6,4,2,7,7,3,4,2,3,4,5,2,1,14,3,4,75,0,0,0,0,0,0,0,0,1,15,3,3,10,0,19,4
Virginia,2014,781,23,203,6,247,18,308,26,187,17,155,13,86,4,283,6,571,44,89,16,1,5,18,4,0,0,20,16,265,35,658,5,983,14
Washington,2014,377,13,78,3,67,6,144,14,112,12,93,10,39,2,233,5,95,44,64,10,6,8,39,8,5,15,13,7,84,28,311,2,455,8
West Virginia,2014,79,10,17,2,24,9,23,11,23,10,17,7,10,2,73,5,17,31,3,16,0,0,1,9,0,0,2,13,20,11,62,0,96,6
Wisconsin,2014,195,8,35,1,65,7,66,9,40,6,42,5,17,1,71,2,103,37,41,16,3,8,5,5,0,0,6,12,40,11,176,0,230,5
Wyoming,2014,10,4,2,1,0,0,5,6,3,5,3,4,0,0,5,1,4,61,2,5,0,0,0,0,0,0,0,0,3,1,7,0,12,2
Puerto Rico,2014,547,38,138,9,140,23,157,35,174,39,123,27,92,9,2,-9,1,-9,682,-9,0,-9,0,-9,0,-9,0,-9,241,94,343,1,686,23
Alabama,2015,371,19,110,5,150,19,143,23,76,13,64,10,48,3,99,4,343,33,18,13,1,4,3,6,0,0,17,38,148,20,299,1,481,12
Alaska,2015,19,6,5,2,4,3,6,5,4,4,5,5,5,3,8,2,4,19,2,5,9,11,1,3,0,0,0,0,9,0,14,0,24,4
Arizona,2015,618,22,99,4,151,13,240,26,147,18,117,14,62,3,251,8,130,57,256,16,51,24,16,9,5,48,8,9,120,62,485,0,717,13
Arkansas,2015,205,17,53,4,72,15,78,20,35,10,48,13,25,3,97,5,135,37,18,12,0,0,2,5,2,37,4,12,54,16,182,1,258,10
California,2015,4215,26,505,3,960,15,1630,28,978,19,771,15,381,4,1354,10,888,47,2070,18,15,11,299,6,14,12,80,11,563,234,3738,2,4720,15
Colorado,2015,319,14,54,2,83,9,126,15,84,12,61,9,19,1,185,6,60,34,114,13,3,10,3,2,0,0,8,10,51,14,264,0,373,8
Connecticut,2015,207,14,64,4,53,9,78,18,53,12,47,9,40,4,84,4,99,33,79,19,2,33,5,4,0,0,2,5,87,20,154,0,271,9
Delaware,2015,87,23,22,5,17,12,36,29,20,18,20,16,16,6,37,7,58,35,12,19,0,0,0,0,0,0,2,16,40,4,60,0,109,14
Washington DC,2015,291,107,92,30,74,69,144,95,76,79,50,65,39,27,43,19,278,105,52,92,0,0,4,16,1,320,5,46,116,22,239,1,383,66
Florida,2015,3823,45,1026,12,929,32,1442,55,988,40,899,33,591,9,1193,12,2056,80,1490,37,5,11,55,12,10,92,40,19,1542,209,3000,4,4849,28
Georgia,2015,1943,48,438,10,594,34,838,60,424,31,331,24,194,8,370,8,1784,70,162,24,2,10,20,6,1,19,42,39,595,96,1650,4,2381,28
Hawaii,2015,108,18,7,1,14,7,49,23,18,10,25,14,9,2,41,14,11,39,10,10,1,31,20,4,14,13,18,9,17,11,85,0,115,10
Idaho,2015,33,5,5,1,8,3,14,6,4,2,8,4,4,1,19,2,8,91,8,6,0,0,3,16,0,0,0,0,10,2,24,0,38,3
Illinois,2015,1235,24,237,4,418,20,504,28,256,15,186,11,108,3,339,5,746,50,304,18,4,25,38,7,1,34,40,33,276,54,1073,19,1472,14
Indiana,2015,484,18,148,5,119,11,239,28,136,17,101,12,37,2,356,8,206,42,51,16,1,8,7,6,0,0,11,16,119,181,310,0,632,12
Iowa,2015,100,8,26,2,33,6,28,7,26,7,23,6,16,2,74,3,24,30,17,14,0,0,6,10,0,0,5,18,28,12,81,0,126,5
Kansas,2015,124,10,23,2,35,7,45,12,31,9,20,6,16,2,57,3,44,32,34,14,1,5,5,7,0,0,6,14,29,5,103,0,147,6
Kentucky,2015,278,15,58,3,82,12,115,20,66,12,51,8,22,2,181,6,128,44,13,12,0,0,5,10,0,0,9,21,67,18,238,1,336,9
Louisiana,2015,854,46,275,14,286,37,375,56,211,37,151,25,106,9,235,10,814,68,63,35,9,37,3,4,1,60,4,10,333,88,670,4,1129,29
Maine,2015,36,6,9,2,10,5,10,7,8,5,9,5,8,2,26,2,14,104,5,32,0,0,0,0,0,0,0,0,9,6,29,1,45,4
Maryland,2015,979,41,368,14,255,27,433,52,264,34,252,29,143,9,174,6,1022,70,99,23,3,24,18,6,0,0,31,36,497,76,748,4,1347,27
Massachusetts,2015,437,16,163,5,79,7,184,20,132,16,125,13,80,4,218,5,183,47,166,29,3,29,23,6,0,0,7,9,175,76,327,5,600,10
Michigan,2015,595,15,130,3,215,13,222,18,119,10,117,9,52,2,213,3,445,40,43,12,0,0,13,5,0,0,11,8,138,42,526,3,725,9
Minnesota,2015,221,10,66,3,65,8,87,12,63,9,41,6,31,2,121,3,125,53,24,12,0,0,12,6,0,0,5,7,74,12,179,1,287,6
Mississippi,2015,399,34,110,9,182,36,144,37,75,20,57,15,51,6,76,5,406,45,15,22,3,26,3,12,0,0,6,31,134,20,343,1,509,21
Missouri,2015,389,16,76,3,134,14,148,18,83,11,61,8,39,2,198,5,220,39,22,12,0,0,9,9,1,18,15,20,97,25,330,0,465,9
Montana,2015,17,4,2,1,6,4,5,4,4,3,1,1,3,1,15,2,1,22,3,11,0,0,0,0,0,0,0,0,4,1,10,0,19,2
Nebraska,2015,69,9,12,2,25,8,21,8,17,7,16,7,2,0,47,4,17,25,11,8,5,42,0,0,0,0,1,5,16,2,60,0,81,5
Nevada,2015,424,35,61,5,84,19,167,40,114,30,90,23,30,4,167,13,122,61,148,24,3,14,31,15,6,42,8,13,70,27,360,0,485,20
New Hampshire,2015,20,4,2,0,6,3,6,4,4,3,3,2,3,1,17,2,3,22,1,3,0,0,0,0,0,0,1,8,-2,-2,-2,-2,22,2
New Jersey,2015,906,25,284,7,204,15,374,32,234,20,219,17,159,6,207,5,535,55,400,29,0,0,26,4,0,0,22,26,371,127,665,6,1190,16
New Mexico,2015,125,15,10,1,28,8,51,18,29,12,19,7,8,1,37,5,5,15,77,10,16,11,0,0,0,0,0,0,11,13,95,0,135,8
New York,2015,2487,31,636,7,576,18,1045,36,599,24,540,20,363,7,597,6,1255,52,1012,34,1,2,90,6,3,41,165,76,779,247,2033,6,3123,19
North Carolina,2015,1076,27,259,6,349,21,411,31,228,18,205,15,142,5,304,6,852,48,122,19,14,15,12,5,1,19,30,27,332,55,901,2,1335,16
North Dakota,2015,14,4,8,3,5,4,6,5,8,9,2,2,1,1,7,1,11,81,2,11,0,0,1,11,0,0,1,12,9,3,9,0,22,4
Ohio,2015,744,16,183,4,256,14,294,20,158,11,145,9,74,2,365,5,474,41,48,16,2,10,10,5,1,31,27,20,194,58,656,2,927,10
Oklahoma,2015,275,17,44,3,68,10,122,23,62,13,45,9,22,2,150,7,76,32,42,15,23,9,9,13,1,25,18,13,52,17,215,0,319,10
Oregon,2015,187,11,24,1,27,4,70,13,46,9,45,9,23,2,147,6,19,32,33,9,3,8,6,4,2,16,1,1,23,20,146,1,211,6
Pennsylvania,2015,909,17,261,5,265,13,347,21,221,15,211,12,126,3,347,4,627,56,157,24,2,13,21,6,1,34,15,12,394,82,665,1,1170,11
Rhode Island,2015,48,11,16,3,8,5,17,12,14,11,18,12,7,2,24,4,16,32,21,18,0,0,1,3,0,0,2,14,21,4,37,0,64,7
South Carolina,2015,554,28,140,7,181,23,214,33,118,20,103,16,78,5,156,6,477,44,48,25,1,7,2,3,1,44,9,20,187,41,458,2,694,17
South Dakota,2015,17,5,6,2,5,4,6,5,5,5,4,4,3,1,11,2,6,54,3,14,3,6,0,0,0,0,0,0,9,1,11,0,23,3
Tennessee,2015,571,21,141,5,184,18,246,28,123,15,111,12,48,3,237,6,419,47,42,18,2,13,8,9,1,34,3,5,186,42,463,0,712,13
Texas,2015,3643,33,833,7,1089,23,1552,39,868,24,640,18,327,5,938,9,1653,63,1701,21,5,7,83,8,5,27,91,38,954,234,3142,5,4476,20
Utah,2015,105,9,11,1,15,3,45,10,33,8,17,6,6,1,68,4,8,34,31,11,2,9,7,12,0,0,0,0,15,4,83,0,116,5
Vermont,2015,6,2,5,2,0,0,5,7,3,4,3,3,0,0,8,2,0,0,2,22,0,0,1,12,0,0,0,0,4,3,5,0,11,2
Virginia,2015,774,23,182,5,252,19,320,27,182,17,116,10,86,4,223,5,590,45,105,18,1,5,25,6,2,37,10,8,260,32,646,1,956,14
Washington,2015,379,13,66,2,71,6,164,16,98,11,74,8,38,2,219,5,90,41,82,13,6,8,34,7,5,13,9,5,61,38,320,1,445,7
West Virginia,2015,59,8,15,2,18,7,19,9,23,10,7,3,7,1,56,4,12,22,2,9,1,30,1,8,0,0,2,11,16,5,49,0,74,5
Wisconsin,2015,199,8,30,1,58,6,78,11,41,6,36,5,16,1,85,2,93,33,35,13,4,10,7,6,0,0,5,9,36,7,179,0,229,5
Wyoming,2015,13,5,2,1,5,5,4,5,3,4,2,3,1,1,10,2,2,33,3,7,0,0,0,0,0,0,0,0,4,3,5,1,15,3
Puerto Rico,2015,417,30,92,6,72,12,134,31,115,26,113,25,75,7,1,-9,1,-9,507,-9,0,-9,0,-9,0,-9,0,-9,172,67,259,0,509,17
